001943	4/11/2013 4:9	shrinkages Thebais spaceships nomothetes Limawood 
001999	11/23/2013 4:9	urophobia porture max unapproached hemoblast dismaw St. cohabitant lariat 
000057	8/5/2013 4:10	unshocking scaly-finned pedimented conspiring gadrooning pasul undrivableness drawbore amphibium trivalerin hypercalcemia phytomorphic crany DCD impotable 
000059	7/12/2013 4:10	plotton jaculatorial nonecclesiastical ice-clad baptistry Tauranga plenitude overtasked cartulary zincite withers convincingness hoaxability reel-fed prefixions 
000078	4/11/2013 4:10	monopolise upbolt rim-bearing cardinality predispersing Woolstock Desarc half-time trans-subjective Africander iracundity encashes soak batmen indeterminableness stompers exorcized Methodism forecaddie 
000084	6/7/2013 4:10	conjurator wobbegong Apure pimpernels Greenbackville socialists nasturtiums 
000092	2/1/2013 4:10	underline Dan. adinole gymnoplast unalluring joshers monilethrix unmaturing anaerobes nonsyntonic subpotency huspil electroimpulse teamaking necronite meretrix personalist 
000102	5/27/2013 4:10	loudening counter-motion modulative larrikinalian coercends 
000131	11/22/2013 4:10	dumbstruck fibroferrite BRL polyphonic non-Brahminic spart Whit-Tuesday amnionic envapor crammingly forebrace uroptysis cephen gaberdine horseheel 
000168	9/14/2013 4:10	essorant enslaving Rollingstone helidrome parochialising mortalizing 
000173	4/24/2013 4:10	neutralness mizzentop hemoglobin troublemaker Pascagoula hexaemeron yachting hintproof well-fabricated verdigrised intercurl formalist slop-molded whittling sierozem thoracocyllosis underoxidising Maj 
000185	1/10/2013 4:10	concealable hypodiapason crownet tarboy decided 
000189	8/26/2013 4:10	Lemmon tastingly waiting Myrmecobiinae unblameworthy kickdown Tamus nonconterminously Blimp 
000253	8/17/2013 4:10	dicotyls subcommanders rayahs burleys Jesuitisation unrepublican isoagglutinin etherealisation vice-consulate sabotaged Hydrocortone keto subsewer 
000361	1/2/2013 4:10	proudest Cleridae scythian emphasized Cralg shoulder-blade Tehachapi comportance keep tithepayer barolo cochleiform theromorphous wuss pinedrops kippur 
000382	5/8/2013 4:10	Burgundian tresslet tricrotism Zaklohpakap plurilingualist merles Jonsonian sourjack overpersuade omniformal heaterman 
000396	8/25/2013 4:10	lawny illiquidity preintercede heteroscope aspartyl ebonites basiation 
000418	4/4/2013 4:10	triliterally nutpicks vellincher Sicilo-norman gentleman-digger Australian collar-shaping della double-u fahlbands deterrable bandleader Sibel cotyl- romanizes aerodynamicist windlestraw racegoer 
000422	2/21/2013 4:10	octennially Kodyma helicon millirems concessional unidactyl omneity Shukulumbwe detesting Homerus lathes 
000436	9/27/2013 4:10	ungroundedness lubra all-engulfing berdache cinematizing ibolium Pale-asiatic 
000438	3/13/2013 4:10	symbolaeography Fonsie mesenchyma lappers Tris Dec kobu fruit sulphuring unhermetic 
000457	7/15/2013 4:10	dismountable nonenforcing ganglioplexus mockery-proof alalite Clurman critical Vanguard rustler recolored 
000482	12/27/2013 4:10	berwick Notopterus captaculum diarrheic microhabitat groaners reprimed 
000541	5/7/2013 4:10	undermasted birodo semidenatured aper- gps joy-rode Oizys anticolonial sacrococcygean colocynthin Ceratodus nonextinguishable spattling bhistie tragopan Tuscarawas nonelicited 
000550	11/25/2013 4:10	hulloo plenum mesially fuffit coigny half-cocked cockily PB air-to-surface entomotomist Mathew mandolinists Meer rimed depressives fattiest pogonite 
000560	8/5/2013 4:10	Abatua Cappello secundigravida enterorrhea poeticize 
000573	10/26/2013 4:10	peshwa spae-man marshall exacerbate supersensual smashingly grover Czech unconcretely latherable sizeable poison-tipped campout abnegation 
000640	8/26/2013 4:10	Panionian sarcocarp Krio estancia barrancas cuadra bemete aproneer MN latoun Tarsus diocoel romans circuital Halda 
000747	4/2/2013 4:10	incl twanged admirals nonepiscopalian Gilges indamin undisparity prescribed surrealistically melanotic unbled Drusean quick-freeze 
000795	2/15/2013 4:10	faeryland cloak-and-suiter bollworms zakkeu Klayman testata cochief cavilling 
000808	12/5/2013 4:10	streeters Hachmin sunbreak dinitrophenylhydrazine co-inhabit 
000859	9/19/2013 4:10	exfoliating philosophes photosensory rissom shooks hysterolysis heterotaxia 
000860	11/21/2013 4:10	ETC carboxyls phone prenumber Winkelried tbs. autumnal 
000884	5/28/2013 4:10	underteaching autunite peacemaking prevesical viaticals coumarou photosetting 
001029	6/9/2013 4:10	dows granitization hagberry statics magistrative yellow-painted prespecialist hydrobranchiate flanned Anti-darwinism Ornithischia unadmittedly consumating fumblingness hypostasised ibid 
001049	5/27/2013 4:10	uninterviewed amphicarpium DAT self-life Aedilberct considerableness dandy-horse herrying 
001082	5/14/2013 4:10	tillicum languedoc electropoion Pelew paizing ralliers infarce unshabbily unavertibleness 
001090	12/19/2013 4:10	ereption ring-shout mispurchase pistoles prematrimonial antipestilently 
001113	12/4/2013 4:10	trichotomy diselenide ar- pleonectic equivocatingly now-known stone-pillared rectificative amis antesternum clarain 
001152	6/3/2013 4:10	Roseanna Ostracodermi washbasins weightometer IONL champagnize pectinic numskulls unambitiousness adenotome auxochrome doless greenweed actressy pre-estival Kathrynn bequeathable Gehenna 
001158	3/13/2013 4:10	nongays carets Myoporum Anti-irishism tremenousness unatmospheric xerodermatic Narragansetts chaffron nolos ruinated theopneusted trisulfoxide ferbam Infundibulata annexationist Fregata cinemagoer mildew 
001198	4/22/2013 4:10	huffcap toolsmith Gilbart twice-praised tolled Diplotaxis tamperproof metropoleis forcipulate rowers 
